kissa gatto
koira cane
hevonen cavallo
ehmä mucca
ana gallina
nkka anatra
ammas pecora
ika maiale
ksi uno
kaksi due
kolme tre
neljä quattro
viisi cinque
kuusi sei
seitsemän sette
kahdeksan otto
yhdeksän nove
kymmenen dieci
punainen rosso
inen blu
vihreä verde
keltainen giallo
musta nero
valkoinen bianco
harmaa grigio
oranssi arancione
violetti viola
ruskea marrone
omena mela
banaani banana
appelsiini arancia
mansikka fragola
vesimeloni anguria
tomaatti pomodoro
kurkku cetriolo
porkkana carota
peruna patata
sipuli cipolla
salaatti lattuga
paprika peperone
ravintola ristorante
kahvila caffè
koulu scuola
yliopisto università
kirjasto biblioteca
sairaala ospedale
apteekki farmacia
päivä giorno
yö notte
aamu mattina
ilta sera
viikko settimana
kuukausi mese
vuosi anno
tänään oggi
huomenna domani
eilen ieri
kyllä sì
ei no
ehkä forse
kiitos grazie
anteeksi scusa
